day,symbol,time_utc,price,bias,line_val,sma14,close_break_pct,neck_chg_pct,span,sma25,sma99,dist_ma99_pct,sma200,dist_ma200_pct,sma200_slope_pct,entry,reclaim_3,pnl_15m,pnl_30m,pnl_1h,pnl_2h,pnl_4h,pnl_8h,pnl_12h,sma200_15,dist_ma200_15m_pct
2026-08-01,BTW/USDT,2026-08-01 10:25,0.12495,21.78,0.127007,0.123686,2.77,6.36,17,0.12047,0.113972,9.63,0.105918,17.97,3.46,0.12492,True,-1.1927633685558687,0.25616394492475253,12.912263848863276,7.93307716938841,7.612872238232472,8.989753442203014,27.817803394172273,,
2026-08-01,BTW/USDT,2026-08-01 16:15,0.11578,8.22,0.118601,0.118141,2.83,0.3,14,0.116918,0.116435,-0.56,0.112651,2.78,2.121,0.11577,True,-0.6737496760818891,-1.5288934957242877,3.662434136650249,5.890990757536488,9.605251792346888,19.642394402694997,26.837695430595147,,
2026-08-01,BTW/USDT,2026-08-01 17:35,0.11172,7.62,0.113195,0.114991,1.57,-4.02,16,0.116053,0.116304,-3.94,0.113762,-1.79,1.692,0.11169,True,3.20530038499418,0.42080759244336846,-1.7369504879577378,3.572387859253285,9.929268511057392,16.241382397707945,23.860685826842147,,
2026-08-01,DEXE/USDT,2026-08-01 01:00,2.64,6.82,2.68,2.632929,2.05,2.3,12,2.59112,2.546141,3.69,2.520585,4.74,0.501,2.638,False,1.364670204700532,2.0470053070507896,3.0705079605761925,4.131918119787717,5.875663381349501,7.99848369977255,6.444275966641393,,
2026-08-01,EPIC/USDT,2026-08-01 13:30,0.9392,19.14,0.94016,0.928436,2.39,0.46,10,0.905436,0.821175,14.37,0.798178,17.67,1.941,0.9393,True,0.8836367507718487,1.8843819865857605,9.09187692962845,2.3208772490152287,0.26615564782285295,7.015862876610249,1.40530182050463,,
2026-08-01,EPIC/USDT,2026-08-01 14:00,0.9216,19.14,0.94274,0.932843,2.41,0.46,10,0.922748,0.83007,11.03,0.802451,14.85,2.135,0.9216,True,-2.647569444444442,7.345920138888887,1.3454861111111076,0.0976562500000013,2.539062499999998,5.707465277777776,-0.9114583333333414,,
2026-08-01,EUL/USDT,2026-08-01 15:50,1.5633,24.19,1.604788,1.575936,2.96,-2.9,16,1.587652,1.415553,10.44,1.384683,12.9,2.106,1.5634,False,3.1661762824612945,4.029678904950745,3.8377894332864164,3.5371625943456513,2.5393373416911764,2.9806831265191236,-2.360240501471163,,
2026-08-01,GIGGLE/USDT,2026-08-01 01:40,46.87,24.2,47.486842,47.955,2.12,-3.52,19,47.9356,45.521111,2.96,41.90515,11.85,2.403,46.87,False,4.203114998933217,6.379347130360562,10.326434819714095,2.218903349690632,-17.132494132707492,5.205888628120328,10.60379773842543,,
2026-08-01,GIGGLE/USDT,2026-08-01 02:10,43.88,24.2,46.937368,45.885714,6.88,-3.52,19,47.3656,45.656566,-3.89,42.13275,4.15,2.229,43.88,False,3.0082041932543304,4.21604375569736,-1.8915223336371882,-4.466727438468552,-23.404740200546936,-1.823154056517769,-2.620783956244299,,
2026-08-01,GIGGLE/USDT,2026-08-01 06:20,54.57,26.54,56.1685,53.715,5.34,17.01,20,50.6936,47.176263,15.67,44.51215,22.6,3.735,54.56,False,0.3115835777126131,6.213343108504399,6.928152492668624,10.025659824046919,18.511730205278596,17.943548387096772,28.17082111436951,,
2026-08-01,IDOL/USDT,2026-08-01 11:30,0.02403,30.02,0.025045,0.024172,5.01,3.41,8,0.024039,0.023471,2.38,0.020055,19.82,4.62,0.02403,False,0.5826050769870902,-0.4161464835622114,0.20807324178109846,0.6242197253433243,0.5409904286308705,0.3745318352059917,-0.9571369121930964,,
2026-08-01,KAITO/USDT,2026-08-01 16:45,1.1421,6.88,1.16763,1.142914,2.25,2.41,27,1.137848,1.110366,2.86,1.100971,3.74,0.85,1.1422,False,1.033094029066716,-4.202416389423902,-7.424268954648921,-6.855191735247751,-5.147960077044297,-5.209245316056722,-2.94169147259673,,
2026-08-01,KAITO/USDT,2026-08-01 18:35,1.221,12.36,1.241875,1.223271,2.45,0.81,8,1.195884,1.134607,7.61,1.114634,9.54,1.316,1.2209,False,0.28667376525514443,-0.6388729625685811,0.7863051846998158,2.3589155540994478,2.8913096895732746,1.8510934556474874,4.734212466213455,,
2026-08-01,KAITO/USDT,2026-08-01 19:05,1.2287,12.36,1.2493,1.223057,2.46,0.81,8,1.212988,1.143176,7.48,1.11877,9.83,1.485,1.2287,False,1.5789045332465095,1.4161308700252186,1.8637584438837733,3.5077724424188097,3.8007650362171375,2.2706926019369917,4.639049401806783,,
