symbol,time_utc,horizon,bars,entry,exit,pnl_pct,pnl_at_signal_close,mfe_pct,mae_pct,bias
BTW/USDT,2026-08-09 08:15,2h,24,0.18642,0.17146,8.024890033258234,7.9854030267253435,12.02660658727604,0.6222508314558494,14.36
BTW/USDT,2026-08-09 08:15,4h,48,0.18642,0.1816,2.585559489325175,2.543737254481053,15.191503057611849,0.6222508314558494,14.36
BTW/USDT,2026-08-09 08:15,8h,96,0.18642,0.19776,-6.083038300611516,-6.128582161640005,15.191503057611849,11.962235811608188,14.36
BTW/USDT,2026-08-09 08:15,12h,144,0.18642,0.21693,-16.366269713550054,-16.416228399699477,15.191503057611849,17.535672138182594,14.36
BTW/USDT,2026-08-09 08:45,15m,3,0.1734,0.16541,4.6078431372549,4.618844423941869,5.420991926182233,1.072664359861592,14.36
BTW/USDT,2026-08-09 08:45,30m,6,0.1734,0.18373,-5.957324106113037,-5.945104370891485,5.420991926182233,6.6897347174163775,14.36
BTW/USDT,2026-08-09 08:45,1h,12,0.1734,0.16983,2.0588235294117587,2.070118786760456,5.420991926182233,6.6897347174163775,14.36
BTW/USDT,2026-08-09 08:45,2h,24,0.1734,0.171,1.3840830449826906,1.395456118094786,5.420991926182233,6.6897347174163775,14.36
BTW/USDT,2026-08-09 08:45,4h,48,0.1734,0.18413,-6.188004613610143,-6.175758274708798,8.82352941176471,7.1510957324106075,14.36
BTW/USDT,2026-08-09 08:45,8h,96,0.1734,0.20514,-18.30449826989619,-18.290854572713645,8.82352941176471,20.369088811995383,14.36
BTW/USDT,2026-08-09 08:45,12h,144,0.1734,0.2187,-26.124567474048447,-26.110021912120875,8.82352941176471,26.753171856978092,14.36
BTW/USDT,2026-08-09 15:10,15m,3,0.20053,0.20564,-2.548247145065564,-2.5431335394434993,0.2792599611030793,3.346132748217221,5.87
BTW/USDT,2026-08-09 15:10,30m,6,0.20053,0.20484,-2.1493043434897423,-2.1442106312955014,0.2792599611030793,3.346132748217221,5.87
BTW/USDT,2026-08-09 15:10,1h,12,0.20053,0.2013,-0.3839824465167271,-0.3789767627406057,1.9847404378397302,4.084176931132486,5.87
BTW/USDT,2026-08-09 15:10,2h,24,0.20053,0.20435,-1.9049518775245549,-1.899870350054856,1.9847404378397302,4.084176931132486,5.87
