day,symbol,time_utc,price,bias,line_val,sma14,close_break_pct,neck_chg_pct,span,vol_ratio,sma25,sma99,dist_ma99_pct,sma200,dist_ma200_pct,sma200_slope_pct,entry,reclaim_3,pnl_15m,pnl_30m,pnl_1h,pnl_2h,pnl_4h,pnl_8h,pnl_12h,sma200_15,dist_ma200_15m_pct
2026-08-03,BTW/USDT,2026-08-03 19:55,0.09956,18.6,0.108827,0.106146,9.1,-2.01,14,5.86,0.107826,0.102318,-2.7,0.096263,3.43,3.306,0.09957,False,3.9871447223059167,1.0846640554383966,1.3859596263934981,-4.509390378628095,-6.718891232298872,-15.958622074922152,-15.295771818820922,0.090203,10.37
2026-08-03,ENA/USDT,2026-08-03 15:20,0.09283,5.51,0.093147,0.093299,0.5,-0.72,12,6.39,0.092876,0.090532,2.54,0.089426,3.81,0.469,0.09282,False,0.4632622279681102,0.754147812971349,-0.24779142426200615,0.05386770092651852,1.3897866839043305,0.2585649644473218,1.4113337642749468,0.086606,7.19
2026-08-03,META/USDT,2026-08-03 14:55,589.48,5.41,589.189091,589.891429,0.24,-0.53,11,71.08,581.7028,569.700404,3.47,566.51185,4.05,0.466,589.51,True,-0.6412104968533142,-0.9261929398992446,-0.6785296262998083,-0.7820053943105315,-0.8481620328747604,-0.15775813811471626,-0.25953758205967203,560.43955,5.18
2026-08-03,SKYAI/USDT,2026-08-03 09:45,0.03182,12.88,0.031919,0.032667,0.94,-3.33,17,7.64,0.032966,0.032339,-1.61,0.031082,2.37,1.198,0.03182,True,-2.042740414833431,-2.5141420490257764,-6.033940917661842,-4.839723444374606,-12.759270898805786,-25.895663104965422,-29.604022627278432,0.028202,12.83
2026-08-03,SKYAI/USDT,2026-08-03 20:50,0.04073,21.04,0.041737,0.040663,2.63,-0.52,19,5.29,0.041236,0.039167,3.99,0.036075,12.9,3.193,0.04075,False,0.7852760736196338,-0.8588957055214629,-0.7361963190184089,-0.515337423312888,3.2392638036809855,-13.889570552147234,-11.41104294478528,0.03091,31.77
2026-08-03,SNXX/USDT,2026-08-03 15:25,9.66,7.7,9.99,9.887857,3.4,-0.79,8,19.84,9.5104,9.171414,5.33,9.5081,1.6,-0.122,9.66,True,-3.002070393374732,-2.795031055900617,-6.211180124223599,-8.488612836438927,-8.488612836438927,-11.80124223602485,-8.592132505175984,9.48135,1.88
2026-08-03,UB/USDT,2026-08-03 11:55,0.17834,5.57,0.179496,0.178654,0.88,-0.12,13,12.72,0.178596,0.174964,1.93,0.170998,4.29,0.873,0.17826,True,-1.4136654325143019,-1.0602490743857302,-2.271962302255132,-2.9563558846628504,-4.85246269493997,-6.507348816335688,-3.809042970941316,0.164647,8.32
2026-08-04,AAOI/USDT,2026-08-04 13:30,130.31,16.85,131.864,130.084286,6.37,-0.81,20,7.28,130.7908,121.727273,7.05,116.89985,11.47,2.144,130.31,True,1.7189778221164984,0.8441408947893442,1.450387537410801,-1.5041055943519361,-3.269127465275106,0.27626429284016085,-1.450387537410779,104.5155,24.68
2026-08-04,AAOI/USDT,2026-08-04 14:00,129.21,16.85,131.54,129.502857,2.51,-0.81,20,6.26,129.954,122.587576,5.4,117.41405,10.05,2.002,129.17,False,0.6348223271657454,0.5806301772857475,-1.6335062320972469,-2.8102500580630365,-4.3818224045831276,-0.387086784857165,-3.15088642873734,104.86585,23.21
2026-08-04,AXTI/USDT,2026-08-04 00:55,68.52,10.06,68.825333,69.715,0.82,-3.1,15,7.01,70.1812,69.897374,-1.97,65.7678,4.18,1.654,68.48,True,1.022196261682247,-0.32126168224298896,-2.2488317757009226,-1.70852803738318,-2.8329439252336415,-6.907126168224284,4.92114485981309,63.0317,8.71
2026-08-04,COTI/USDT,2026-08-04 09:00,0.01297,19.44,0.013194,0.013342,3.74,-1.53,10,22.08,0.013127,0.012093,7.25,0.01188,9.17,1.969,0.012967,True,0.10025449217243097,3.1233130253720915,3.154160561425154,-2.244158247859963,-3.8790776586720135,-6.732474743579861,-11.768335004241546,0.01217,6.58
2026-08-04,HFT/USDT,2026-08-04 21:40,0.01135,19.22,0.01142,0.011449,2.63,-1.72,10,7.11,0.011278,0.010502,8.08,0.010051,12.92,2.027,0.01136,True,-2.2007042253521147,-4.92957746478873,-0.9683098591549206,-4.92957746478873,0.1760563380281771,-42.25352112676057,-53.69718309859154,0.009084,24.95
2026-08-04,LITE/USDT,2026-08-04 14:00,826.93,11.38,878.835,854.035,6.14,-0.94,20,8.11,866.1908,839.999394,-1.56,814.2238,1.56,1.248,826.71,False,0.6677069347171295,0.4511860265389336,-2.1894013620253663,-3.2115252023079375,-4.054626168789537,-1.999491962114886,-3.343373129634332,761.347,8.61
