day,symbol,time_utc,price,bias,line_val,sma14,close_break_pct,neck_chg_pct,span,vol_ratio,sma25,sma99,dist_ma99_pct,sma200,dist_ma200_pct,entry,reclaim_3,pnl_15m,pnl_30m,pnl_1h,pnl_2h,pnl_4h,pnl_8h,pnl_12h
2026-08-04,SNDK/USDT,2026-08-04 01:00,1273.62,6.31,1285.368333,1295.987857,1.44,-1.97,18,2.53,1304.0772,1299.457879,-1.99,1255.22185,1.47,1273.6,False,-0.572393216080417,-1.9370288944723677,-2.0548052763819156,-1.4070351758794029,-1.0804020100502507,-3.147770100502524,-7.234610552763828
2026-08-04,SOXL/USDT,2026-08-04 01:00,112.81,6.1,114.455,115.858571,1.94,-3.97,16,2.49,117.4872,117.25101,-3.79,113.9965,-1.04,112.8,False,-0.7712765957446849,-2.5531914893617107,-4.964539007092206,-3.324468085106383,-4.193262411347522,-9.609929078014186,-17.367021276595736
2026-08-04,UB/USDT,2026-08-04 16:05,0.17586,10.21,0.188677,0.186717,9.37,-4.14,15,2.95,0.191283,0.194743,-9.7,0.192602,-8.69,0.17586,False,0.9723643807574147,22.80222904583191,10.565222335949043,13.692710110315018,24.66166268622768,29.296030933697253,18.35551006482428
2026-08-05,CRCL/USDT,2026-08-05 12:35,61.03,9.13,64.182963,63.401429,5.32,-0.76,27,2.75,64.988,64.248586,-5.01,63.85575,-4.43,61.03,False,-0.8848107488120583,-0.37686383745698326,-0.5243322955923322,-0.6881861379649381,-3.440930689824678,-3.211535310503032,-1.2616745862690415
2026-08-05,GIGGLE/USDT,2026-08-05 19:10,35.4,8.81,35.94,35.982857,1.95,-0.83,10,2.27,35.7756,34.59697,2.32,33.7712,4.82,35.4,False,0.9887005649717555,1.3841807909604578,2.203389830508478,1.6949152542372923,3.7288135593220346,7.118644067796599,9.237288135593209
2026-08-05,MUU/USDT,2026-08-05 07:25,27.51,5.03,28.376667,28.222143,3.05,-0.97,12,2.87,28.3716,27.71596,-0.74,27.6138,-0.38,27.51,False,-0.10905125408941323,-1.0541621228644098,2.1083242457288325,2.944383860414403,1.7084696474009538,-6.252271901126859,-5.634314794620128
2026-08-07,ALLO/USDT,2026-08-07 01:40,0.28971,12.75,0.292424,0.298906,1.17,-4.79,15,2.03,0.301847,0.288995,0.25,0.278704,3.95,0.28971,True,-0.9492250871561128,-2.0537779158468656,-2.4990507749128326,-5.125815470643047,-3.73476925201063,-12.750681716198947,-14.597355976666318
2026-08-07,ALLO/USDT,2026-08-07 20:05,0.33258,13.43,0.349573,0.347607,5.04,-2.75,13,2.04,0.35497,0.347295,-4.24,0.331357,0.37,0.33257,False,3.563159635565437,2.9317136241994115,1.3771536819316155,6.275370598670957,3.181285142977412,1.8943380340980764,4.609555882971993
2026-08-07,BICO/USDT,2026-08-07 12:15,0.04546,33.34,0.048484,0.049674,8.22,-8.32,13,2.06,0.05007,0.044374,2.45,0.041413,9.77,0.04544,False,3.8512323943662006,0.68221830985915,-6.734154929577466,-8.516725352112672,-17.055457746478872,-24.053697183098596,-23.1294014084507
2026-08-07,BTW/USDT,2026-08-07 01:35,0.17315,9.73,0.183249,0.182969,6.3,-4.71,26,2.75,0.187716,0.186407,-7.11,0.181101,-4.39,0.17316,False,-0.7796257796257738,-1.4091014091014078,-7.946407946407944,-1.5881265881265896,-9.482559482559475,-8.951258951258943,-13.727188727188718
2026-08-07,BTW/USDT,2026-08-07 02:15,0.18123,9.73,0.180446,0.177594,2.44,-4.71,26,2.45,0.181765,0.185946,-2.54,0.181624,-0.22,0.1813,True,-0.6398234969663663,-3.3094318808604557,1.1858797573083206,-4.219525648097087,-0.7446221731936116,-7.148372862658577,-9.08439051296195
2026-08-08,CYS/USDT,2026-08-08 11:00,0.9635,24.49,1.0946,1.113043,15.64,-4.77,13,3.58,1.127564,1.036029,-7.0,0.982443,-1.93,0.9629,False,6.750441375012977,5.711911932703286,11.548447398483743,13.604735694256934,14.54979748675875,7.685117873091698,2.4509294838508624
2026-08-08,HEI/USDT,2026-08-08 02:30,0.20557,13.11,0.237553,0.230276,15.5,-2.83,19,2.4,0.235608,0.22325,-7.92,0.222581,-7.64,0.20551,False,-1.4646489221935735,3.3575008515400655,2.8222470925989,0.6617682837818112,3.016884823122968,-4.685903362366794,3.0460804827015657
2026-08-09,BEAT/USDT,2026-08-09 03:55,2.78,19.87,3.063,3.085714,11.56,-2.69,17,2.48,3.11344,2.93596,-5.31,2.80187,-0.78,2.782,False,-5.10424155283968,-4.09777138749101,-6.362329259525524,-12.257368799424881,-16.71459381739755,-16.96621135873472,-22.21423436376707
2026-08-09,PUMP/USDT,2026-08-09 21:05,0.002655,5.75,0.002687,0.0027,1.25,-0.84,7,3.59,0.002703,0.002686,-1.14,0.002599,2.16,0.002654,False,-0.18839487565937438,-0.9419743782969046,-1.6955538809344348,-1.5071590052750603,-3.5041446872644975,-4.220045214770146,-5.764883195177088
2026-08-09,XAN/USDT,2026-08-09 05:55,0.015131,8.16,0.015247,0.015402,1.76,-1.86,13,3.6,0.015382,0.014877,1.71,0.014628,3.44,0.015123,True,-1.6398862659525222,-2.320968061892486,-4.0798783310189854,-12.193347880711501,-15.473120412616545,-15.215235072406264,-28.393837201613444
2026-08-10,GWEI/USDT,2026-08-10 05:10,0.02329,9.87,0.024275,0.024049,5.13,-0.37,8,2.97,0.023911,0.022446,3.76,0.022505,3.49,0.02328,False,-1.159793814433002,-1.2027491408934814,-3.049828178694168,-7.130584192439871,-8.376288659793817,-9.364261168384887,-20.747422680412374
2026-08-10,龙虾/USDT,2026-08-10 23:25,0.028765,6.05,0.029292,0.028933,2.7,-0.09,19,3.33,0.029041,0.028882,-0.4,0.028787,-0.08,0.028757,False,0.6920054247661482,-0.8276245783635241,,,,,
