Datetime,Close,High,Low,Open,Volume
2026-08-24 04:04:00-04:00,29127.75,29138.25,29120.0,29137.0,153
2026-08-24 04:05:00-04:00,29155.5,29157.5,29126.75,29129.5,227
2026-08-24 04:06:00-04:00,29166.0,29169.5,29147.5,29154.75,428
2026-08-24 04:07:00-04:00,29173.0,29209.0,29159.5,29166.25,639
2026-08-24 04:08:00-04:00,29176.0,29183.5,29173.5,29173.5,185
2026-08-24 04:09:00-04:00,29163.5,29178.0,29162.75,29175.75,178
2026-08-24 04:10:00-04:00,29176.0,29177.25,29164.5,29164.5,83
2026-08-24 04:11:00-04:00,29174.75,29180.0,29172.5,29175.75,87
2026-08-24 04:12:00-04:00,29182.5,29185.5,29172.25,29173.75,82
2026-08-24 04:13:00-04:00,29180.0,29180.5,29174.5,29178.25,63
2026-08-24 04:14:00-04:00,29184.5,29188.25,29178.25,29179.5,82
2026-08-24 04:15:00-04:00,29179.5,29185.5,29176.0,29183.5,100
2026-08-24 04:16:00-04:00,29174.5,29181.75,29171.75,29179.75,112
2026-08-24 04:17:00-04:00,29174.75,29175.75,29171.75,29174.5,56
2026-08-24 04:18:00-04:00,29197.5,29199.0,29173.75,29173.75,167
2026-08-24 04:19:00-04:00,29205.5,29210.5,29197.0,29197.0,231
2026-08-24 04:20:00-04:00,29200.75,29208.25,29199.75,29205.75,91
2026-08-24 04:21:00-04:00,29196.75,29203.0,29187.25,29200.75,152
2026-08-24 04:22:00-04:00,29199.75,29200.75,29194.75,29194.75,55
2026-08-24 04:23:00-04:00,29188.0,29200.25,29184.5,29199.25,152
2026-08-24 04:24:00-04:00,29192.5,29192.75,29185.0,29187.0,96
2026-08-24 04:25:00-04:00,29184.25,29194.0,29182.0,29193.75,95
2026-08-24 04:26:00-04:00,29177.0,29185.0,29174.75,29182.75,61
2026-08-24 04:27:00-04:00,29191.0,29191.75,29177.25,29177.25,65
2026-08-24 04:28:00-04:00,29197.25,29198.5,29186.25,29190.25,136
2026-08-24 04:29:00-04:00,29191.75,29201.5,29190.0,29198.25,73
2026-08-24 04:30:00-04:00,29191.0,29196.75,29188.25,29191.5,49
2026-08-24 04:31:00-04:00,29189.5,29192.5,29179.75,29191.5,77
2026-08-24 04:32:00-04:00,29200.0,29203.5,29189.75,29189.75,75
2026-08-24 04:33:00-04:00,29198.75,29200.25,29190.0,29200.25,78
2026-08-24 04:34:00-04:00,29197.0,29200.0,29196.0,29196.75,43
2026-08-24 04:35:00-04:00,29196.5,29200.0,29195.25,29196.25,36
2026-08-24 04:36:00-04:00,29204.0,29207.0,29192.0,29197.75,128
2026-08-24 04:37:00-04:00,29197.5,29204.0,29196.5,29203.5,53
2026-08-24 04:38:00-04:00,29208.5,29208.5,29197.0,29197.5,62
2026-08-24 04:39:00-04:00,29223.25,29225.75,29206.5,29208.75,376
2026-08-24 04:40:00-04:00,29215.0,29223.25,29209.5,29222.75,146
2026-08-24 04:41:00-04:00,29218.0,29220.5,29215.0,29216.5,67
2026-08-24 04:42:00-04:00,29218.75,29218.75,29212.0,29214.0,58
2026-08-24 04:43:00-04:00,29222.75,29225.0,29218.5,29218.75,72
2026-08-24 04:44:00-04:00,29224.5,29225.25,29219.0,29223.0,57
2026-08-24 04:45:00-04:00,29222.75,29224.5,29219.25,29224.25,36
2026-08-24 04:46:00-04:00,29221.75,29222.0,29216.25,29222.0,75
2026-08-24 04:47:00-04:00,29219.75,29224.0,29214.75,29222.0,90
2026-08-24 04:48:00-04:00,29218.75,29220.25,29217.0,29219.25,36
2026-08-24 04:49:00-04:00,29216.0,29220.25,29215.25,29218.75,59
2026-08-24 04:50:00-04:00,29222.0,29224.0,29216.25,29216.25,61
2026-08-24 04:51:00-04:00,29224.75,29227.25,29219.75,29220.5,121
2026-08-24 04:52:00-04:00,29238.0,29240.0,29222.75,29224.75,196
2026-08-24 04:53:00-04:00,29232.75,29238.0,29229.5,29237.75,92
2026-08-24 04:54:00-04:00,29232.75,29232.75,29227.75,29232.25,60
2026-08-24 04:55:00-04:00,29229.5,29233.25,29229.5,29233.25,51
2026-08-24 04:56:00-04:00,29227.25,29231.0,29224.75,29229.5,66
2026-08-24 04:57:00-04:00,29225.75,29230.75,29224.5,29226.5,76
2026-08-24 04:58:00-04:00,29225.25,29227.75,29223.25,29227.75,27
2026-08-24 04:59:00-04:00,29215.0,29228.75,29213.5,29228.75,121
2026-08-24 05:00:00-04:00,29205.75,29216.25,29201.0,29215.75,199
2026-08-24 05:01:00-04:00,29213.25,29215.75,29207.0,29207.75,67
2026-08-24 05:02:00-04:00,29210.75,29222.0,29209.5,29213.75,109
2026-08-24 05:03:00-04:00,29232.25,29237.75,29210.0,29210.0,296
2026-08-24 05:04:00-04:00,29242.75,29245.5,29234.25,29234.25,194
2026-08-24 05:05:00-04:00,29232.5,29243.25,29230.0,29242.5,132
2026-08-24 05:06:00-04:00,29240.0,29241.25,29231.5,29232.5,105
2026-08-24 05:07:00-04:00,29240.75,29246.5,29238.0,29240.25,103
2026-08-24 05:08:00-04:00,29240.75,29242.25,29237.75,29241.25,42
2026-08-24 05:09:00-04:00,29244.25,29244.5,29241.0,29243.0,23
2026-08-24 05:10:00-04:00,29242.25,29247.75,29241.25,29242.0,69
2026-08-24 05:11:00-04:00,29236.75,29244.5,29235.25,29243.0,62
2026-08-24 05:12:00-04:00,29238.0,29243.75,29235.5,29235.5,71
2026-08-24 05:13:00-04:00,29233.25,29238.5,29233.25,29237.25,55
2026-08-24 05:14:00-04:00,29234.0,29236.0,29233.0,29233.25,39
2026-08-24 05:15:00-04:00,29233.5,29235.5,29231.0,29233.0,53
2026-08-24 05:16:00-04:00,29231.0,29235.25,29231.0,29234.75,24
2026-08-24 05:17:00-04:00,29232.5,29233.75,29229.5,29230.25,59
2026-08-24 05:18:00-04:00,29227.5,29233.5,29225.25,29230.75,73
2026-08-24 05:19:00-04:00,29220.75,29229.25,29219.25,29226.0,76
2026-08-24 05:20:00-04:00,29221.25,29224.5,29220.25,29221.0,52
2026-08-24 05:21:00-04:00,29222.5,29223.75,29217.5,29221.25,74
2026-08-24 05:22:00-04:00,29219.25,29222.25,29218.0,29221.5,36
2026-08-24 05:23:00-04:00,29215.0,29218.75,29212.5,29218.5,45
2026-08-24 05:24:00-04:00,29217.75,29220.5,29214.5,29215.75,120
2026-08-24 05:25:00-04:00,29214.5,29217.0,29209.0,29216.75,83
2026-08-24 05:26:00-04:00,29214.0,29214.0,29209.5,29213.25,31
2026-08-24 05:27:00-04:00,29213.0,29215.0,29212.0,29212.75,25
2026-08-24 05:28:00-04:00,29209.5,29211.75,29208.25,29211.75,60
2026-08-24 05:29:00-04:00,29210.5,29212.0,29209.0,29209.0,39
2026-08-24 05:30:00-04:00,29221.0,29222.5,29209.0,29209.5,127
2026-08-24 05:31:00-04:00,29217.25,29221.75,29217.25,29221.0,50
2026-08-24 05:32:00-04:00,29223.75,29225.25,29214.5,29217.0,107
2026-08-24 05:33:00-04:00,29225.0,29226.0,29215.0,29222.25,132
2026-08-24 05:34:00-04:00,29225.25,29225.25,29218.25,29223.75,36
2026-08-24 05:35:00-04:00,29230.75,29233.25,29221.75,29224.5,116
2026-08-24 05:36:00-04:00,29237.0,29239.0,29230.25,29231.0,85
2026-08-24 05:37:00-04:00,29240.0,29240.0,29235.75,29237.25,46
2026-08-24 05:38:00-04:00,29240.0,29242.25,29234.75,29240.25,123
2026-08-24 05:39:00-04:00,29238.75,29239.0,29234.0,29239.0,68
2026-08-24 05:40:00-04:00,29224.5,29238.75,29223.75,29237.5,112
2026-08-24 05:41:00-04:00,29232.25,29237.75,29225.25,29225.25,76
2026-08-24 05:42:00-04:00,29230.75,29234.0,29230.75,29231.75,22
2026-08-24 05:43:00-04:00,29233.5,29234.5,29230.25,29231.0,32
2026-08-24 05:44:00-04:00,29236.5,29237.0,29231.0,29232.75,47
2026-08-24 05:45:00-04:00,29233.5,29240.25,29233.5,29236.0,99
2026-08-24 05:46:00-04:00,29239.75,29242.0,29231.25,29233.25,59
2026-08-24 05:47:00-04:00,29246.0,29246.0,29236.75,29239.5,62
2026-08-24 05:48:00-04:00,29243.75,29249.75,29237.75,29246.0,196
2026-08-24 05:49:00-04:00,29244.25,29245.25,29240.25,29243.75,58
2026-08-24 05:50:00-04:00,29241.75,29245.75,29239.0,29244.5,47
2026-08-24 05:51:00-04:00,29234.25,29242.25,29230.25,29242.25,96
2026-08-24 05:52:00-04:00,29236.5,29238.5,29233.25,29234.0,43
2026-08-24 05:53:00-04:00,29232.75,29234.75,29229.5,29234.25,28
2026-08-24 05:54:00-04:00,29232.25,29234.0,29232.25,29234.0,15
2026-08-24 05:55:00-04:00,29233.75,29235.5,29232.5,29232.5,26
2026-08-24 05:56:00-04:00,29227.0,29238.0,29227.0,29236.5,84
2026-08-24 05:57:00-04:00,29230.25,29231.75,29227.75,29227.75,23
2026-08-24 05:58:00-04:00,29231.75,29231.75,29228.5,29230.0,47
2026-08-24 05:59:00-04:00,29231.5,29232.75,29230.0,29232.75,25
2026-08-24 06:00:00-04:00,29232.5,29235.5,29227.75,29231.75,85
2026-08-24 06:01:00-04:00,29233.75,29235.75,29230.5,29233.0,79
2026-08-24 06:02:00-04:00,29238.0,29239.75,29227.5,29231.5,105
2026-08-24 06:03:00-04:00,29238.25,29242.0,29233.75,29238.0,65
2026-08-24 06:04:00-04:00,29244.25,29244.75,29237.75,29239.5,61
2026-08-24 06:05:00-04:00,29239.75,29247.0,29239.5,29244.75,75
2026-08-24 06:06:00-04:00,29234.25,29240.5,29233.0,29239.25,63
2026-08-24 06:07:00-04:00,29242.75,29245.0,29232.0,29233.5,92
2026-08-24 06:08:00-04:00,29234.75,29244.5,29234.75,29244.25,71
2026-08-24 06:09:00-04:00,29232.0,29236.75,29232.0,29235.5,51
2026-08-24 06:10:00-04:00,29233.25,29236.0,29232.0,29233.0,32
2026-08-24 06:11:00-04:00,29231.25,29234.5,29227.5,29233.75,129
2026-08-24 06:12:00-04:00,29221.75,29232.5,29221.75,29231.5,102
2026-08-24 06:13:00-04:00,29219.5,29223.75,29215.0,29222.25,127
2026-08-24 06:14:00-04:00,29214.75,29219.75,29214.75,29219.75,63
2026-08-24 06:15:00-04:00,29217.25,29220.0,29215.0,29216.0,42
2026-08-24 06:16:00-04:00,29215.25,29219.25,29214.25,29217.5,61
2026-08-24 06:17:00-04:00,29215.5,29218.5,29214.5,29215.75,46
2026-08-24 06:18:00-04:00,29217.5,29218.0,29214.5,29215.75,25
2026-08-24 06:19:00-04:00,29212.0,29216.5,29212.0,29215.75,29
2026-08-24 06:20:00-04:00,29207.5,29213.75,29204.25,29212.75,134
2026-08-24 06:21:00-04:00,29209.5,29211.5,29206.5,29207.75,109
2026-08-24 06:22:00-04:00,29208.75,29213.5,29206.5,29209.75,87
2026-08-24 06:23:00-04:00,29220.75,29221.0,29209.5,29209.5,73
2026-08-24 06:24:00-04:00,29232.0,29236.0,29221.25,29221.25,214
2026-08-24 06:25:00-04:00,29220.0,29232.5,29217.75,29232.5,122
2026-08-24 06:26:00-04:00,29217.75,29222.25,29216.5,29218.25,55
2026-08-24 06:27:00-04:00,29210.75,29223.75,29209.5,29218.25,68
2026-08-24 06:28:00-04:00,29217.25,29219.75,29209.75,29211.5,83
2026-08-24 06:29:00-04:00,29209.25,29218.75,29208.0,29218.0,60
2026-08-24 06:30:00-04:00,29209.75,29213.0,29205.0,29208.5,156
2026-08-24 06:31:00-04:00,29215.75,29217.0,29209.75,29210.75,76
2026-08-24 06:32:00-04:00,29226.5,29227.25,29213.75,29213.75,137
2026-08-24 06:33:00-04:00,29229.0,29229.0,29222.0,29226.0,64
2026-08-24 06:34:00-04:00,29236.75,29240.0,29226.25,29229.5,123
2026-08-24 06:35:00-04:00,29235.0,29238.0,29233.75,29238.0,60
2026-08-24 06:36:00-04:00,29236.25,29236.5,29232.75,29235.5,58
2026-08-24 06:37:00-04:00,29229.0,29234.75,29226.25,29234.75,37
2026-08-24 06:38:00-04:00,29232.0,29232.5,29227.75,29229.75,26
